Seq,TaskID,Category,ImplementationStatus,Screen,Route,PageEntry,DependsOn,DetailFile,DetailFileExists,RequirementRef
1,GLOBAL-HEADER-FOOTER,COMPONENT,IMPLEMENT,전역,(all),,,TASK-GLOBAL-HEADER-FOOTER.md,True,REQ-FUNC-064;REQ-FUNC-065;REQ-FUNC-079;REQ-FUNC-080;REQ-NF-023
2,GLOBAL-TOAST,COMPONENT,IMPLEMENT,전역,(all),,,TASK-GLOBAL-TOAST.md,True,REQ-FUNC-043
3,GLOBAL-ERROR-PAGES,COMPONENT,IMPLEMENT,기술 Route,*,app/src/app/not-found.tsx;app/src/app/error.tsx,,TASK-GLOBAL-ERROR-PAGES.md,True,REQ-FUNC-078
4,DATA-DESTINATIONS,DATA,IMPLEMENT,해당 없음,,,,TASK-DATA-DESTINATIONS.md,True,REQ-FUNC-004;REQ-NF-006
5,DATA-SAFETY,DATA,IMPLEMENT,해당 없음,,,,TASK-DATA-SAFETY.md,True,REQ-FUNC-046;REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-052;REQ-FUNC-053;REQ-NF-027
6,DATA-REPRESENTATIVE,DATA,IMPLEMENT,해당 없음,,,DATA-DESTINATIONS,TASK-DATA-REPRESENTATIVE.md,True,REQ-FUNC-057;REQ-FUNC-058;REQ-FUNC-059;REQ-FUNC-060;REQ-FUNC-062;REQ-FUNC-063
7,DB-SCHEMA-BASE,DB,IMPLEMENT,해당 없음,,,,TASK-DB-SCHEMA-BASE.md,True,REQ-FUNC-028;REQ-FUNC-029;REQ-FUNC-031;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-040;REQ-FUNC-077
8,DB-RLS-BASE,DB,IMPLEMENT,해당 없음,,,DB-SCHEMA-BASE,TASK-DB-RLS-BASE.md,True,REQ-FUNC-044;REQ-NF-013
9,DB-ACCESS,DB,IMPLEMENT,해당 없음,,,DB-SCHEMA-BASE;DB-RLS-BASE,TASK-DB-ACCESS.md,True,REQ-NF-015
10,DB-SEED-BASE,DB,IMPLEMENT,해당 없음,,,DB-SCHEMA-BASE,TASK-DB-SEED-BASE.md,True,
11,API-AUTH,API,IMPLEMENT,SCR-005,/account,,DB-ACCESS,TASK-API-AUTH.md,True,REQ-FUNC-027;REQ-FUNC-028;REQ-FUNC-066;REQ-NF-014
12,API-MATE-WRITE,API,IMPLEMENT,SCR-003;SCR-005,/travel-tools;/account,,DB-ACCESS;API-AUTH,TASK-API-MATE-WRITE.md,True,REQ-FUNC-031;REQ-FUNC-032;REQ-FUNC-038;REQ-FUNC-080
13,API-MATE-LIST,API,IMPLEMENT,SCR-001;SCR-004,/;/mates,,DB-ACCESS,TASK-API-MATE-LIST.md,True,REQ-FUNC-030;REQ-FUNC-033;REQ-FUNC-037
14,API-MATE-APPLICATION,API,IMPLEMENT,SCR-004;SCR-005,/mates;/account,,DB-ACCESS;API-AUTH;API-MATE-WRITE,TASK-API-MATE-APPLICATION.md,True,REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-036
15,API-REPORT-BLOCK,API,IMPLEMENT,SCR-004;SCR-005,/mates;/account,,DB-ACCESS;API-AUTH,TASK-API-REPORT-BLOCK.md,True,REQ-FUNC-039;REQ-FUNC-040;REQ-NF-019
16,API-MY-ACTIVITY,API,IMPLEMENT,SCR-005,/account,,DB-ACCESS;API-AUTH,TASK-API-MY-ACTIVITY.md,True,REQ-FUNC-029
17,API-ADMIN,API,IMPLEMENT,SCR-005,/account,,DB-ACCESS;API-AUTH,TASK-API-ADMIN.md,True,REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-077
18,CMP-SCR001-HERO-SEARCH,COMPONENT,IMPLEMENT,SCR-001,/,,DATA-DESTINATIONS,TASK-CMP-SCR001-HERO-SEARCH.md,True,REQ-FUNC-003
